dataset_idx,title,notes_snippet,tag,heuristic,human
108,Workflow Diagram: Buildings: Retrofit,"These workflow diagrams show the data inputs, processing steps, assumptions and outputs for the domestic and non-domestic building stock retrofit modelling.",retrofit,Good,Good
108,Workflow Diagram: Buildings: Retrofit,"These workflow diagrams show the data inputs, processing steps, assumptions and outputs for the domestic and non-domestic building stock retrofit modelling.",workflow,Good,Good
108,Workflow Diagram: Buildings: Retrofit,"These workflow diagrams show the data inputs, processing steps, assumptions and outputs for the domestic and non-domestic building stock retrofit modelling.",buildings,Good,Good
108,Workflow Diagram: Buildings: Retrofit,"These workflow diagrams show the data inputs, processing steps, assumptions and outputs for the domestic and non-domestic building stock retrofit modelling.",workflow diagram,Good,Good
108,Workflow Diagram: Buildings: Retrofit,"These workflow diagrams show the data inputs, processing steps, assumptions and outputs for the domestic and non-domestic building stock retrofit modelling.",diagram,Good,Good
1147,DEPRECATED: Number of eligible pupils with English as additional language (EAL),Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,number eligible,Good,Good
1147,DEPRECATED: Number of eligible pupils with English as additional language (EAL),Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,eligible pupils,Good,Good
1147,DEPRECATED: Number of eligible pupils with English as additional language (EAL),Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,additional,Good,Good
1147,DEPRECATED: Number of eligible pupils with English as additional language (EAL),Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,english,Good,Good
1147,DEPRECATED: Number of eligible pupils with English as additional language (EAL),Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,eligible,Good,Good
2461,Other European language (EU): Lithuanian %,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,language,Good,Good
2461,Other European language (EU): Lithuanian %,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,language eu,Good,Good
2461,Other European language (EU): Lithuanian %,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,european language,Good,Good
2461,Other European language (EU): Lithuanian %,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,services,Okay,Okay
2461,Other European language (EU): Lithuanian %,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,european,Good,Good
2717,Males aged 75 to 84 %,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,housing led,Okay,Okay
2717,Males aged 75 to 84 %,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,led,Okay,Okay
2717,Males aged 75 to 84 %,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,75 84,Bad,Bad
2717,Males aged 75 to 84 %,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,population projections,Good,Good
2717,Males aged 75 to 84 %,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,projections,Okay,Okay
4653,% aged under 18 years - Persons - <18 yrs (Upper 99.8% Confidence Limit),Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,18,Bad,Bad
4653,% aged under 18 years - Persons - <18 yrs (Upper 99.8% Confidence Limit),Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,18 years,Good,Good
4653,% aged under 18 years - Persons - <18 yrs (Upper 99.8% Confidence Limit),Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,aged 18,Good,Good
4653,% aged under 18 years - Persons - <18 yrs (Upper 99.8% Confidence Limit),Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,years persons,Good,Good
4653,% aged under 18 years - Persons - <18 yrs (Upper 99.8% Confidence Limit),Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,persons 18,Good,Good
5270,AF006: stroke risk assessed w. CHA2DS2-VASc (den.incl.exc.) - Persons - All ages (Denominator),Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,vasc,Good,Good
5270,AF006: stroke risk assessed w. CHA2DS2-VASc (den.incl.exc.) - Persons - All ages (Denominator),Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,risk,Good,Good
5270,AF006: stroke risk assessed w. CHA2DS2-VASc (den.incl.exc.) - Persons - All ages (Denominator),Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,stroke,Good,Good
5270,AF006: stroke risk assessed w. CHA2DS2-VASc (den.incl.exc.) - Persons - All ages (Denominator),Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,assessed,Good,Good
5270,AF006: stroke risk assessed w. CHA2DS2-VASc (den.incl.exc.) - Persons - All ages (Denominator),Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,ages denominator,Good,Good
5757,Population aged 16-59,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,59,Bad,Bad
5757,Population aged 16-59,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,population,Good,Good
5757,Population aged 16-59,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,population estimates,Good,Good
5757,Population aged 16-59,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,aged 16,Good,Good
5757,Population aged 16-59,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,population aged,Good,Good
5891,DEPRECATED: Smoking status at time of delivery - Female - All ages,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,smoking status,Good,Good
5891,DEPRECATED: Smoking status at time of delivery - Female - All ages,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,delivery,Good,Good
5891,DEPRECATED: Smoking status at time of delivery - Female - All ages,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,smoking,Good,Good
5891,DEPRECATED: Smoking status at time of delivery - Female - All ages,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,status,Good,Good
5891,DEPRECATED: Smoking status at time of delivery - Female - All ages,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,female ages,Good,Good
6202,Statutory homelessness - households in temporary accommodation - Persons - Not applicable (Upper 95% Confidence Limit),Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,households temporary,Good,Good
6202,Statutory homelessness - households in temporary accommodation - Persons - Not applicable (Upper 95% Confidence Limit),Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,temporary accommodation,Good,Good
6202,Statutory homelessness - households in temporary accommodation - Persons - Not applicable (Upper 95% Confidence Limit),Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,temporary,Good,Good
6202,Statutory homelessness - households in temporary accommodation - Persons - Not applicable (Upper 95% Confidence Limit),Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,households,Good,Good
6202,Statutory homelessness - households in temporary accommodation - Persons - Not applicable (Upper 95% Confidence Limit),Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,persons applicable,Good,Good
6265,Emergency hospital admissions due to falls in people aged 65 and over - Male - 65+ yrs (Numerator),Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,65,Bad,Bad
6265,Emergency hospital admissions due to falls in people aged 65 and over - Male - 65+ yrs (Numerator),Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,admissions falls,Good,Good
6265,Emergency hospital admissions due to falls in people aged 65 and over - Male - 65+ yrs (Numerator),Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,falls,Good,Good
6265,Emergency hospital admissions due to falls in people aged 65 and over - Male - 65+ yrs (Numerator),Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,aged 65,Good,Good
6265,Emergency hospital admissions due to falls in people aged 65 and over - Male - 65+ yrs (Numerator),Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,emergency hospital,Good,Good
7063,Healthy life expectancy at 65 - Male - 65,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,65,Bad,Bad
7063,Healthy life expectancy at 65 - Male - 65,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,general health,Good,Good
7063,Healthy life expectancy at 65 - Male - 65,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,good,Okay,Okay
7063,Healthy life expectancy at 65 - Male - 65,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,general,Okay,Okay
7063,Healthy life expectancy at 65 - Male - 65,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,healthy life,Good,Good
9205,"Key stage 2 pupils meeting the expected standard in reading, writing and maths - Female - 10-11 yrs Lower 95% Confidence Limit",Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,writing maths,Good,Good
9205,"Key stage 2 pupils meeting the expected standard in reading, writing and maths - Female - 10-11 yrs Lower 95% Confidence Limit",Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,reading writing,Good,Good
9205,"Key stage 2 pupils meeting the expected standard in reading, writing and maths - Female - 10-11 yrs Lower 95% Confidence Limit",Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,standard reading,Good,Good
9205,"Key stage 2 pupils meeting the expected standard in reading, writing and maths - Female - 10-11 yrs Lower 95% Confidence Limit",Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,key stage,Good,Good
9205,"Key stage 2 pupils meeting the expected standard in reading, writing and maths - Female - 10-11 yrs Lower 95% Confidence Limit",Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,maths,Good,Good
9674,The percentage of the population with a physical or mental long term health condition in employment (aged 16 to 64) - Persons - 16-64 yrs,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,health condition,Good,Good
9674,The percentage of the population with a physical or mental long term health condition in employment (aged 16 to 64) - Persons - 16-64 yrs,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,term health,Good,Good
9674,The percentage of the population with a physical or mental long term health condition in employment (aged 16 to 64) - Persons - 16-64 yrs,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,16 64,Bad,Bad
9674,The percentage of the population with a physical or mental long term health condition in employment (aged 16 to 64) - Persons - 16-64 yrs,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,64,Bad,Bad
9674,The percentage of the population with a physical or mental long term health condition in employment (aged 16 to 64) - Persons - 16-64 yrs,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,physical mental,Good,Good
9890,Age by single year (Census TS007) - Aged 100 years and over,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,single year,Good,Good
9890,Age by single year (Census TS007) - Aged 100 years and over,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,age,Good,Good
9890,Age by single year (Census TS007) - Aged 100 years and over,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,single,Good,Good
9890,Age by single year (Census TS007) - Aged 100 years and over,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,ts007 aged,Good,Good
9890,Age by single year (Census TS007) - Aged 100 years and over,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,ts007,Good,Good
10330,Sex by single year of age (Census TS009) - Female Aged 10 years (rate),Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,year age,Good,Good
10330,Sex by single year of age (Census TS009) - Female Aged 10 years (rate),Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,sex,Good,Good
10330,Sex by single year of age (Census TS009) - Female Aged 10 years (rate),Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,single year,Good,Good
10330,Sex by single year of age (Census TS009) - Female Aged 10 years (rate),Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,age,Good,Good
10330,Sex by single year of age (Census TS009) - Female Aged 10 years (rate),Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,single,Good,Good
10436,Sex by single year of age (Census TS009) - Female Aged 5 years (rate),Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,year age,Good,Good
10436,Sex by single year of age (Census TS009) - Female Aged 5 years (rate),Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,sex,Good,Good
10436,Sex by single year of age (Census TS009) - Female Aged 5 years (rate),Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,single year,Good,Good
10436,Sex by single year of age (Census TS009) - Female Aged 5 years (rate),Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,age,Good,Good
10436,Sex by single year of age (Census TS009) - Female Aged 5 years (rate),Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,single,Good,Good
11947,TS024 - Main language (detailed) African language: Luganda,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,language,Good,Good
11947,TS024 - Main language (detailed) African language: Luganda,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,main language,Good,Good
11947,TS024 - Main language (detailed) African language: Luganda,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,language detailed,Good,Good
11947,TS024 - Main language (detailed) African language: Luganda,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,african language,Good,Good
11947,TS024 - Main language (detailed) African language: Luganda,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,main,Good,Good
12912,TS022 - Ethnic group (detailed) Other ethnic group: Somali,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,ethnic group,Good,Good
12912,TS022 - Ethnic group (detailed) Other ethnic group: Somali,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,ethnic,Good,Good
12912,TS022 - Ethnic group (detailed) Other ethnic group: Somali,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,group,Good,Good
12912,TS022 - Ethnic group (detailed) Other ethnic group: Somali,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,group detailed,Good,Good
12912,TS022 - Ethnic group (detailed) Other ethnic group: Somali,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,detailed,Good,Good
14133,Percentage of service users within 15 minutes travel time by walking of an employment centre with 100-499 jobs,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,journey,Okay,Okay
14133,Percentage of service users within 15 minutes travel time by walking of an employment centre with 100-499 jobs,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,road,Okay,Okay
14133,Percentage of service users within 15 minutes travel time by walking of an employment centre with 100-499 jobs,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,public transport,Good,Good
14133,Percentage of service users within 15 minutes travel time by walking of an employment centre with 100-499 jobs,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,walking,Good,Good
14133,Percentage of service users within 15 minutes travel time by walking of an employment centre with 100-499 jobs,Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,transport,Okay,Okay
14878,"Life expectancy at birth - Female - All ages - ""LSOA21 deprivation deciles within area (IMD trend) "" - Fifth less deprived decile Upper 95% Confidence Limit",Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,life,Good,Good
14878,"Life expectancy at birth - Female - All ages - ""LSOA21 deprivation deciles within area (IMD trend) "" - Fifth less deprived decile Upper 95% Confidence Limit",Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,mortality,Okay,Okay
14878,"Life expectancy at birth - Female - All ages - ""LSOA21 deprivation deciles within area (IMD trend) "" - Fifth less deprived decile Upper 95% Confidence Limit",Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,born area,Okay,Okay
14878,"Life expectancy at birth - Female - All ages - ""LSOA21 deprivation deciles within area (IMD trend) "" - Fifth less deprived decile Upper 95% Confidence Limit",Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,area time,Okay,Okay
14878,"Life expectancy at birth - Female - All ages - ""LSOA21 deprivation deciles within area (IMD trend) "" - Fifth less deprived decile Upper 95% Confidence Limit",Note from Data for London: Croydon Observatory provided access to this dataset. The underlying data comes from a London-wide source that is filtered by area. Th…,number years,Okay,Okay
16026,Redbridge - Payments over £500 2024-25 - June 2024,Payments made to suppliers where the invoice total amounts to over £500 in the financial year 2024-2025,2024,Bad,Bad
16026,Redbridge - Payments over £500 2024-25 - June 2024,Payments made to suppliers where the invoice total amounts to over £500 in the financial year 2024-2025,500,Bad,Bad
16026,Redbridge - Payments over £500 2024-25 - June 2024,Payments made to suppliers where the invoice total amounts to over £500 in the financial year 2024-2025,2024 25,Bad,Bad
16026,Redbridge - Payments over £500 2024-25 - June 2024,Payments made to suppliers where the invoice total amounts to over £500 in the financial year 2024-2025,payments,Good,Good
16026,Redbridge - Payments over £500 2024-25 - June 2024,Payments made to suppliers where the invoice total amounts to over £500 in the financial year 2024-2025,june,Good,Good
16477,"Women prescribed injectable contraception in GP practices: rate per 1,000","Crude rate of women prescribed injectable contraception in the calendar year (January to December) in GP practices per 1,000 resident female population aged 15 …",prescribed,Good,Good
16477,"Women prescribed injectable contraception in GP practices: rate per 1,000","Crude rate of women prescribed injectable contraception in the calendar year (January to December) in GP practices per 1,000 resident female population aged 15 …",practices,Good,Good
16477,"Women prescribed injectable contraception in GP practices: rate per 1,000","Crude rate of women prescribed injectable contraception in the calendar year (January to December) in GP practices per 1,000 resident female population aged 15 …",women,Good,Good
16477,"Women prescribed injectable contraception in GP practices: rate per 1,000","Crude rate of women prescribed injectable contraception in the calendar year (January to December) in GP practices per 1,000 resident female population aged 15 …",gp,Bad,Bad
16477,"Women prescribed injectable contraception in GP practices: rate per 1,000","Crude rate of women prescribed injectable contraception in the calendar year (January to December) in GP practices per 1,000 resident female population aged 15 …",rate 000,Good,Good
16881,Volume of pure alcohol sold through the off-trade: all alcohol sales,Average litres of pure alcohol sold per adult (18+) through the off-trade by alcohol product type: all alcohol sales.,alcohol,Good,Good
16881,Volume of pure alcohol sold through the off-trade: all alcohol sales,Average litres of pure alcohol sold per adult (18+) through the off-trade by alcohol product type: all alcohol sales.,trade,Good,Good
16881,Volume of pure alcohol sold through the off-trade: all alcohol sales,Average litres of pure alcohol sold per adult (18+) through the off-trade by alcohol product type: all alcohol sales.,sales,Good,Good
16881,Volume of pure alcohol sold through the off-trade: all alcohol sales,Average litres of pure alcohol sold per adult (18+) through the off-trade by alcohol product type: all alcohol sales.,volume,Good,Good
16881,Volume of pure alcohol sold through the off-trade: all alcohol sales,Average litres of pure alcohol sold per adult (18+) through the off-trade by alcohol product type: all alcohol sales.,product,Okay,Okay
16975,Supporting information - % population aged under 18,The percentage of the resident population aged 0-17 years,supporting population,Good,Good
16975,Supporting information - % population aged under 18,The percentage of the resident population aged 0-17 years,population aged,Good,Good
16975,Supporting information - % population aged under 18,The percentage of the resident population aged 0-17 years,supporting,Good,Good
16975,Supporting information - % population aged under 18,The percentage of the resident population aged 0-17 years,aged 18,Good,Good
16975,Supporting information - % population aged under 18,The percentage of the resident population aged 0-17 years,18,Bad,Bad
17224,"Children leaving care: rate per 10,000 children aged under 18",The number of children who ceased to be looked after by local authorities during the year expressed as a rate per population aged 0-17.,children,Good,Good
17224,"Children leaving care: rate per 10,000 children aged under 18",The number of children who ceased to be looked after by local authorities during the year expressed as a rate per population aged 0-17.,000 children,Good,Good
17224,"Children leaving care: rate per 10,000 children aged under 18",The number of children who ceased to be looked after by local authorities during the year expressed as a rate per population aged 0-17.,rate 10,Good,Good
17224,"Children leaving care: rate per 10,000 children aged under 18",The number of children who ceased to be looked after by local authorities during the year expressed as a rate per population aged 0-17.,leaving,Good,Good
17224,"Children leaving care: rate per 10,000 children aged under 18",The number of children who ceased to be looked after by local authorities during the year expressed as a rate per population aged 0-17.,10 000,Bad,Bad
18053,Draft New London Plan 2017 Figures and Maps,These zip files contain high resolution images from the Draft New London Plan published December 2017. The full draft plan can be downloaded here.,draft,Good,Good
18053,Draft New London Plan 2017 Figures and Maps,These zip files contain high resolution images from the Draft New London Plan published December 2017. The full draft plan can be downloaded here.,plan,Good,Good
18053,Draft New London Plan 2017 Figures and Maps,These zip files contain high resolution images from the Draft New London Plan published December 2017. The full draft plan can be downloaded here.,2017,Bad,Bad
18053,Draft New London Plan 2017 Figures and Maps,These zip files contain high resolution images from the Draft New London Plan published December 2017. The full draft plan can be downloaded here.,maps,Good,Good
18053,Draft New London Plan 2017 Figures and Maps,These zip files contain high resolution images from the Draft New London Plan published December 2017. The full draft plan can be downloaded here.,new,Good,Good
18535,Analysis of potential savings from freezing private rents,This page provides the results of an analysis carried out by the Greater London Authority of data on average private rents from Rightmove and forecast rent chan…,rents,Good,Good
18535,Analysis of potential savings from freezing private rents,This page provides the results of an analysis carried out by the Greater London Authority of data on average private rents from Rightmove and forecast rent chan…,private,Good,Good
18535,Analysis of potential savings from freezing private rents,This page provides the results of an analysis carried out by the Greater London Authority of data on average private rents from Rightmove and forecast rent chan…,analysis,Good,Good
18535,Analysis of potential savings from freezing private rents,This page provides the results of an analysis carried out by the Greater London Authority of data on average private rents from Rightmove and forecast rent chan…,potential,Good,Good
18535,Analysis of potential savings from freezing private rents,This page provides the results of an analysis carried out by the Greater London Authority of data on average private rents from Rightmove and forecast rent chan…,resulting,Okay,Okay
18862,Emergency admissions for gastroenteritis - registered population - retired after 2022/23,"Rate of emergency admissions for gastroenteritis in children per 10,000 population",admissions gastroenteritis,Good,Good
18862,Emergency admissions for gastroenteritis - registered population - retired after 2022/23,"Rate of emergency admissions for gastroenteritis in children per 10,000 population",gastroenteritis,Good,Good
18862,Emergency admissions for gastroenteritis - registered population - retired after 2022/23,"Rate of emergency admissions for gastroenteritis in children per 10,000 population",2022 23,Bad,Bad
18862,Emergency admissions for gastroenteritis - registered population - retired after 2022/23,"Rate of emergency admissions for gastroenteritis in children per 10,000 population",23,Bad,Bad
18862,Emergency admissions for gastroenteritis - registered population - retired after 2022/23,"Rate of emergency admissions for gastroenteritis in children per 10,000 population",retired,Good,Good
19517,E-Cigarettes - Public Health Position Statement - Sept19,"This statement is a review of the 2016 Camden and Islington Public Health position statement, in line with the new evidence reported by PHE. This updated statem…",statement,Good,Good
19517,E-Cigarettes - Public Health Position Statement - Sept19,"This statement is a review of the 2016 Camden and Islington Public Health position statement, in line with the new evidence reported by PHE. This updated statem…",camden islington,Okay,Okay
19517,E-Cigarettes - Public Health Position Statement - Sept19,"This statement is a review of the 2016 Camden and Islington Public Health position statement, in line with the new evidence reported by PHE. This updated statem…",islington,Okay,Okay
19517,E-Cigarettes - Public Health Position Statement - Sept19,"This statement is a review of the 2016 Camden and Islington Public Health position statement, in line with the new evidence reported by PHE. This updated statem…",position,Good,Good
19517,E-Cigarettes - Public Health Position Statement - Sept19,"This statement is a review of the 2016 Camden and Islington Public Health position statement, in line with the new evidence reported by PHE. This updated statem…",cigarettes,Good,Good
20484,Richmond upon Thames Workless households,"Data about workless households in Richmond upon Thames, provided by nomis",richmond thames,Good,Good
20484,Richmond upon Thames Workless households,"Data about workless households in Richmond upon Thames, provided by nomis",richmond,Good,Good
20484,Richmond upon Thames Workless households,"Data about workless households in Richmond upon Thames, provided by nomis",thames,Good,Good
20484,Richmond upon Thames Workless households,"Data about workless households in Richmond upon Thames, provided by nomis",workless households,Good,Good
20484,Richmond upon Thames Workless households,"Data about workless households in Richmond upon Thames, provided by nomis",workless,Good,Good
